Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-02 22:08:33.496,0.9350,0.1219,0.2250,0.4440,0.4496,0.4440,2
2026-02-02 22:08:33.710,0.9343,0.1362,0.2215,0.4154,0.4426,0.4154,3
2026-02-02 22:08:33.913,0.9346,0.1357,0.2251,0.4222,0.4498,0.4222,4
2026-02-02 22:08:34.143,0.9387,0.1394,0.2252,0.4120,0.4500,0.4120,5
2026-02-02 22:08:34.354,0.9372,0.1396,0.2254,0.4087,0.4505,0.4087,6
2026-02-02 22:08:34.546,1.5821,0.1286,0.2380,0.4481,0.4639,0.4481,7
2026-02-02 22:08:34.747,1.5821,0.1286,0.2389,0.4481,0.4658,0.4481,8
2026-02-02 22:08:34.958,1.5478,0.1296,0.2391,0.4471,0.4662,0.4471,9
2026-02-02 22:08:35.164,1.5371,0.1301,0.2390,0.4482,0.4651,0.4482,10
2026-02-02 22:08:35.363,1.5400,0.1284,0.2389,0.4469,0.4653,0.4469,11
2026-02-02 22:08:35.560,1.5341,0.1261,0.2327,0.4526,0.4518,0.4526,12
2026-02-02 22:08:35.762,1.5148,0.1286,0.2518,0.4586,0.3692,0.4586,13
2026-02-02 22:08:35.962,1.5464,0.1205,0.2154,0.4721,0.4175,0.4721,14
2026-02-02 22:08:36.152,1.5486,0.1195,0.2154,0.4698,0.4180,0.4698,15
2026-02-02 22:08:36.359,1.5480,0.1189,0.2154,0.4684,0.4179,0.4684,16
2026-02-02 22:08:36.565,1.5355,0.1232,0.2410,0.4558,0.4660,0.4558,17
2026-02-02 22:08:36.768,1.5492,0.1260,0.2322,0.4521,0.4506,0.4521,18
2026-02-02 22:08:36.975,1.5477,0.1260,0.2322,0.4521,0.4508,0.4521,19
2026-02-02 22:08:37.173,1.5562,0.1191,0.2319,0.4386,0.4514,0.4386,20
2026-02-02 22:08:37.375,1.5328,0.1179,0.2323,0.4410,0.4511,0.4410,21
2026-02-02 22:08:37.589,1.5355,0.1188,0.2322,0.4397,0.4506,0.4397,22
2026-02-02 22:08:37.796,0.9298,0.1058,0.2216,0.3762,0.4429,0.3762,23
2026-02-02 22:08:38.042,0.9322,0.1083,0.2252,0.3697,0.4501,0.3697,24
2026-02-02 22:08:38.251,0.9247,0.0858,0.1862,0.3179,0.3721,0.3179,25
2026-02-02 22:08:38.464,1.5534,0.1240,0.2172,0.4438,0.4205,0.4438,26
2026-02-02 22:08:38.687,1.5669,0.1245,0.2172,0.4453,0.4205,0.4453,27
2026-02-02 22:08:38.862,1.5448,0.1227,0.2472,0.4327,0.3441,0.4327,28
2026-02-02 22:08:39.073,1.5874,0.1166,0.2281,0.4436,0.3817,0.4436,29
2026-02-02 22:08:39.294,1.5405,0.1082,0.2888,0.4371,0.3569,0.4371,30
2026-02-02 22:08:39.492,1.5411,0.1073,0.2929,0.4374,0.3528,0.4374,31
2026-02-02 22:08:39.705,1.5411,0.1073,0.2929,0.4374,0.3528,0.4374,31
2026-02-02 22:08:39.895,1.5455,0.1227,0.2448,0.4266,0.4764,0.4266,32
2026-02-02 22:08:40.098,1.6039,0.1220,0.2148,0.4402,0.4175,0.4402,33
2026-02-02 22:08:40.289,1.5963,0.1253,0.2150,0.4371,0.4179,0.4371,34
2026-02-02 22:08:40.490,0.9178,0.0626,0.1187,0.2153,0.2370,0.2153,35
2026-02-02 22:08:40.693,0.9175,0.0624,0.1142,0.2148,0.2281,0.2148,36
2026-02-02 22:08:40.891,0.9183,0.0716,0.1207,0.2338,0.2411,0.2338,37
2026-02-02 22:08:41.087,0.9186,0.0717,0.1303,0.2335,0.2603,0.2335,38
2026-02-02 22:08:41.304,0.9188,0.0715,0.1339,0.2341,0.2675,0.2341,39
2026-02-02 22:08:41.492,0.9192,0.0812,0.1340,0.2562,0.2676,0.2562,40
2026-02-02 22:08:41.718,1.5226,0.1279,0.2729,0.4411,0.2990,0.4411,41
2026-02-02 22:08:41.927,1.5242,0.1283,0.2992,0.4417,0.2508,0.4417,42
2026-02-02 22:08:42.144,1.5280,0.1333,0.2812,0.4457,0.2850,0.4457,43
2026-02-02 22:08:42.346,1.5316,0.1281,0.2813,0.4353,0.2930,0.4353,44
2026-02-02 22:08:42.555,1.5316,0.1281,0.2812,0.4353,0.2929,0.4353,45
2026-02-02 22:08:42.767,1.4725,0.1276,0.2171,0.4342,0.4211,0.4342,46
2026-02-02 22:08:42.971,1.0047,0.1275,0.2168,0.4340,0.4211,0.4340,47
