Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-02 21:49:04.242,0.9387,0.0807,0.2274,0.3755,0.4544,0.3755,2
2026-02-02 21:49:04.444,0.9368,0.0872,0.2274,0.3764,0.4545,0.3764,3
2026-02-02 21:49:04.647,0.9312,0.0969,0.2299,0.3729,0.4594,0.3729,4
2026-02-02 21:49:04.854,0.9307,0.1017,0.2296,0.3611,0.4589,0.3611,5
2026-02-02 21:49:05.053,0.9317,0.0933,0.2300,0.3773,0.4597,0.3773,6
2026-02-02 21:49:05.252,0.9380,0.0933,0.2280,0.3756,0.4556,0.3756,7
2026-02-02 21:49:05.463,0.9628,0.1146,0.2380,0.4355,0.4707,0.4355,8
2026-02-02 21:49:05.660,0.9639,0.1165,0.2378,0.4416,0.4704,0.4416,9
2026-02-02 21:49:05.864,0.9253,0.1351,0.2282,0.3430,0.4560,0.3430,10
2026-02-02 21:49:06.067,0.9249,0.1343,0.2277,0.3412,0.4551,0.3412,11
2026-02-02 21:49:06.279,0.9311,0.1162,0.2306,0.3532,0.4609,0.3532,12
2026-02-02 21:49:06.474,0.9248,0.1329,0.2329,0.3470,0.4654,0.3470,13
2026-02-02 21:49:06.690,0.9248,0.1404,0.2336,0.3591,0.4668,0.3591,14
2026-02-02 21:49:06.908,0.9239,0.1316,0.2185,0.3378,0.4367,0.3378,15
2026-02-02 21:49:07.123,0.9280,0.1140,0.2196,0.3003,0.4389,0.3003,16
2026-02-02 21:49:07.335,0.9270,0.1207,0.2207,0.3186,0.4411,0.3186,17
2026-02-02 21:49:07.549,0.9266,0.1537,0.2213,0.3833,0.4424,0.3833,18
2026-02-02 21:49:07.744,0.9248,0.1274,0.2219,0.3330,0.4434,0.3330,19
2026-02-02 21:49:07.949,0.9250,0.1127,0.2217,0.3038,0.4431,0.3038,20
2026-02-02 21:49:08.143,0.9258,0.1179,0.2220,0.3142,0.4437,0.3142,21
2026-02-02 21:49:08.340,0.9248,0.1167,0.2219,0.3131,0.4434,0.3131,22
2026-02-02 21:49:08.558,0.9244,0.1252,0.2211,0.3361,0.4418,0.3361,23
2026-02-02 21:49:08.770,0.9132,0.1243,0.1911,0.3235,0.3819,0.3235,24
2026-02-02 21:49:08.966,0.9118,0.1095,0.1863,0.2971,0.3722,0.2971,25
2026-02-02 21:49:09.182,0.9469,0.1334,0.2124,0.4078,0.4195,0.4078,26
2026-02-02 21:49:09.399,0.9470,0.1327,0.2125,0.4098,0.4198,0.4098,27
2026-02-02 21:49:09.579,0.9472,0.1340,0.2107,0.4129,0.4163,0.4129,28
2026-02-02 21:49:09.776,0.9411,0.1503,0.2111,0.3806,0.4170,0.3806,29
2026-02-02 21:49:09.987,1.5445,0.1363,0.2242,0.4134,0.4366,0.4134,30
2026-02-02 21:49:10.176,1.0588,0.1406,0.2135,0.4064,0.4160,0.4064,31
2026-02-02 21:49:10.383,1.4401,0.1175,0.2137,0.4521,0.4160,0.4521,32
2026-02-02 21:49:10.583,1.5417,0.1143,0.2328,0.4455,0.4530,0.4455,33
2026-02-02 21:49:10.797,0.9374,0.1092,0.2242,0.3058,0.4481,0.3058,34
2026-02-02 21:49:10.997,0.9184,0.0835,0.1641,0.2811,0.3278,0.2811,35
2026-02-02 21:49:11.208,0.9192,0.0804,0.1842,0.3269,0.3681,0.3269,36
2026-02-02 21:49:11.435,0.9199,0.0790,0.2042,0.3054,0.4080,0.3054,37
2026-02-02 21:49:11.629,0.9158,0.0572,0.1221,0.2846,0.2438,0.2846,38
2026-02-02 21:49:11.814,0.9194,0.0414,0.1558,0.3109,0.3113,0.3109,39
2026-02-02 21:49:12.033,0.9194,0.0416,0.1618,0.3089,0.3233,0.3089,40
2026-02-02 21:49:12.218,0.9196,0.0403,0.1626,0.3062,0.3249,0.3062,41
2026-02-02 21:49:12.424,0.9201,0.0439,0.1491,0.3201,0.2979,0.3201,42
2026-02-02 21:49:12.616,0.9306,0.0594,0.1637,0.3512,0.3271,0.3512,43
2026-02-02 21:49:12.826,0.9361,0.0757,0.1537,0.3802,0.3070,0.3802,44
2026-02-02 21:49:13.086,0.9408,0.0777,0.1587,0.3834,0.3170,0.3834,45
2026-02-02 21:49:13.269,0.9328,0.1337,0.2198,0.3530,0.4393,0.3530,46
2026-02-02 21:49:13.483,0.9326,0.1359,0.2198,0.3580,0.4393,0.3580,47
2026-02-02 21:49:13.685,0.9304,0.1371,0.2203,0.3612,0.4402,0.3612,48
2026-02-02 21:49:13.882,0.9164,0.1167,0.1583,0.3204,0.3163,0.3204,49
2026-02-02 21:49:14.138,0.9131,0.1151,0.1416,0.3164,0.2829,0.3164,50
2026-02-02 21:49:14.314,0.9114,0.0644,0.1420,0.2149,0.2837,0.2149,51
2026-02-02 21:49:14.532,0.9134,0.0641,0.1465,0.2142,0.2927,0.2142,52
2026-02-02 21:49:14.724,0.9136,0.0660,0.1397,0.2119,0.2790,0.2119,53
2026-02-02 21:49:14.953,0.9092,0.0659,0.1391,0.2074,0.2778,0.2074,54
2026-02-02 21:49:15.172,0.9241,0.0897,0.2099,0.2585,0.4194,0.2585,55
2026-02-02 21:49:15.370,0.9334,0.0909,0.2311,0.3780,0.4618,0.3780,56
2026-02-02 21:49:15.570,0.9333,0.0906,0.2304,0.3768,0.4603,0.3768,57
2026-02-02 21:49:15.771,0.9456,0.1010,0.2300,0.3562,0.4596,0.3562,58
2026-02-02 21:49:15.975,0.9420,0.1086,0.2306,0.3592,0.4607,0.3592,59
2026-02-02 21:49:16.173,0.9344,0.1060,0.2306,0.3465,0.4607,0.3465,60
2026-02-02 21:49:16.365,0.9365,0.0912,0.2306,0.3728,0.4607,0.3728,61
2026-02-02 21:49:16.577,0.9365,0.0912,0.2306,0.3728,0.4607,0.3728,61
2026-02-02 21:49:16.783,0.9291,0.0987,0.2323,0.3519,0.4640,0.3519,62
