Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-04 22:27:33.326,1.0946,0.1279,0.2794,0.4863,0.5113,1.5497,3
2026-02-04 22:27:33.455,1.0946,0.1249,0.2571,0.4850,0.5134,1.5497,4
2026-02-04 22:27:33.586,1.0946,0.1257,0.2577,0.4835,0.5017,1.5497,5
2026-02-04 22:27:33.719,1.0946,0.1270,0.2576,0.4825,0.4936,1.5497,6
2026-02-04 22:27:33.864,1.0946,0.1249,0.2574,0.4818,0.4880,1.5497,7
2026-02-04 22:27:34.008,1.0946,0.1258,0.2572,0.4812,0.4842,1.5497,8
2026-02-04 22:27:34.143,1.0946,0.1257,0.2577,0.4814,0.4815,1.5497,9
2026-02-04 22:27:34.272,1.0946,0.1247,0.2594,0.4810,0.4805,1.5497,10
2026-02-04 22:27:34.408,1.0946,0.1259,0.2587,0.4813,0.4788,1.5497,11
2026-02-04 22:27:34.551,1.0946,0.1258,0.2594,0.4815,0.4786,1.5497,12
2026-02-04 22:27:34.697,1.0946,0.1258,0.2577,0.4815,0.4775,1.5497,13
2026-02-04 22:27:34.827,1.0946,0.1258,0.2578,0.4816,0.4768,1.5497,14
2026-02-04 22:27:34.950,1.0946,0.1249,0.2586,0.4816,0.4759,1.5497,15
2026-02-04 22:27:35.076,1.0946,0.1249,0.2578,0.4811,0.4756,1.5497,16
2026-02-04 22:27:35.212,1.0946,0.1258,0.2577,0.4813,0.4754,1.5497,17
2026-02-04 22:27:35.340,1.0946,0.1258,0.2574,0.4807,0.4751,1.5497,18
2026-02-04 22:27:35.467,1.0946,0.1258,0.2593,0.4805,0.4752,1.5497,19
2026-02-04 22:27:35.597,1.0946,0.1249,0.2578,0.4803,0.4750,1.5497,20
2026-02-04 22:27:35.726,1.0946,0.1258,0.2592,0.4802,0.4750,1.5497,21
2026-02-04 22:27:35.858,1.0946,0.1258,0.2577,0.4808,0.4749,1.5497,22
2026-02-04 22:27:36.000,1.0946,0.1258,0.2574,0.4812,0.4760,1.5497,23
2026-02-04 22:27:36.134,1.0946,0.1258,0.2573,0.4815,0.4767,1.5497,24
2026-02-04 22:27:36.297,1.0946,0.1258,0.2590,0.4816,0.4773,1.5497,25
2026-02-04 22:27:36.440,1.0946,0.1258,0.2593,0.4818,0.4776,1.5497,26
2026-02-04 22:27:36.577,1.0946,0.1248,0.2592,0.4812,0.4770,1.5497,27
2026-02-04 22:27:36.725,1.0946,0.1245,0.2574,0.4807,0.4774,1.5497,28
2026-02-04 22:27:36.862,1.0946,0.1247,0.2574,0.4805,0.4778,1.5497,29
2026-02-04 22:27:37.000,1.0946,0.1250,0.2593,0.4813,0.4778,1.5497,30
2026-02-04 22:27:37.138,1.0946,0.1263,0.2573,0.4818,0.4768,1.5497,31
2026-02-04 22:27:37.286,1.0946,0.1263,0.2573,0.4822,0.4761,1.5497,32
2026-02-04 22:27:37.441,1.0946,0.1263,0.2577,0.4825,0.4759,1.5497,33
2026-02-04 22:27:37.619,1.0946,0.1263,0.2592,0.4827,0.4755,1.5497,34
2026-02-04 22:27:37.809,1.0946,0.1263,0.2572,0.4828,0.4751,1.5497,35
2026-02-04 22:27:37.995,1.0946,0.1264,0.2577,0.4829,0.4751,1.5497,36
2026-02-04 22:27:38.157,1.0946,0.1263,0.2571,0.4830,0.4749,1.5497,37
2026-02-04 22:27:38.341,1.0946,0.1263,0.2577,0.4831,0.4751,1.5497,38
2026-02-04 22:27:38.524,1.0946,0.1264,0.2575,0.4831,0.4748,1.5497,39
2026-02-04 22:27:38.704,1.0946,0.1264,0.2573,0.4831,0.4747,1.5497,40
2026-02-04 22:27:38.884,1.0946,0.1264,0.2577,0.4831,0.4749,1.5497,41
2026-02-04 22:27:39.067,1.0946,0.1263,0.2571,0.4831,0.4754,1.5497,42
